"Symbol","Name","Index Country","Country of incorporation","Cross-list symbol","Cross-list exchange","Foreign filer?","GICS Sector","Market cap","Average Volume","Action"
"HRVSF","Harvest Health & Recreation Inc.","Canada","","CF:HARV","Canadian Securities Exchange","No","Unknown","$919,678,968","273,062","Analyze"
"HSDT","Helius Medical Technologies Inc. Class A","Canada","USA","CT:HSM","Toronto Stock Exchange","No","Health Care","$35,524,148","7,190","Analyze"
"HSSHF","Digihost Technology Inc.","Canada","","CV:DGHI","TSX Venture Exchange","No","Communication Services","$111,882,358","91,664","Analyze"
"HUGE","FSD Pharma Inc. - Class B Subordinate Voting Shares","Canada","","CF:HUGE","Canadian Securities Exchange","Yes","Health Care","$60,466,301","243,028","Analyze"
"HUTMF","Hut 8 Mining Corp.","Canada","","CT:HUT","Toronto Stock Exchange","No","Unknown","$519,584,667","529,150","Analyze"
"HVBTF","HIVE Blockchain Technologies Ltd","Canada","","CV:HIVE","TSX Venture Exchange","No","Information Technology","$1,085,406,033","9,459,851","Analyze"
"IAG","Iamgold Corp","Canada","Canada","CT:IMG","Toronto Stock Exchange","Yes","Financials","$1,291,819,041","4,600,073","Analyze"
"ICL","Israel Chemicals Limited","Israel","Israel","IT:ICL","Tel Aviv Stock Exchange","Yes","Materials","$9,528,401,511","134,404","Analyze"
"IDBA","IDEX Biometrics ASA","Norway","","NO:IDEX","Oslo Bors Asa","Yes","Information Technology","$232,251,883","449","Analyze"
"IDEXF","Industria de Diseño Textil, S.A.","Spain","","SM:ITX","Bolsa De Madrid","No","Consumer Discretionary","$110,142,481,680","0","Analyze"
"IDXAF","IDEX Biometrics ASA","Norway","","NO:IDEX","Oslo Bors Asa","No","Information Technology","$232,251,883","1,250","Analyze"
"IFNNF","Infineon Technologies AG","Germany","","GF:IFX","Frankfurt Stock Exchange","No","Information Technology","$51,888,948,089","200","Analyze"
"IGXT","Intelgenx Technologies Corp.","Canada","","CV:IGX","TSX Venture Exchange","No","Health Care","$56,956,562","166,825","Analyze"
"IMBBF","Imperial Brands PLC","United Kingdom","","LN:IMB","London Stock Exchange","No","Consumer Staples","$20,641,160,683","874","Analyze"
"IMO","Imperial Oil Limited","Canada","","CT:IMO","Toronto Stock Exchange","No","Energy","$19,263,171,488","558,361","Analyze"
"IMV","IMV Inc.","Canada","","CT:IMV","Toronto Stock Exchange","Yes","Health Care","$141,180,433","5,290,895","Analyze"
"INDXF","Indus Holdings Inc.","Canada","","CF:INDS","Canadian Securities Exchange","No","Unknown","$23,830,225","7,042","Analyze"
"INM","InMed Pharmaceuticals Inc.","Canada","","CT:IN","Toronto Stock Exchange","No","Health Care","$24,944,573","49,242","Analyze"
"IPA","ImmunoPrecise Antibodies Ltd.","Canada","","CV:IPA","TSX Venture Exchange","Yes","Health Care","$128,092,073","7,083,929","Analyze"
